i,j,weight,stability
Ministral-3,Mistral-Small-3,0.08366840056416895,0.158
DeepSeek-V4,Ministral-3,0.07153353282717016,0.156
Llama-3.2,Mistral-Medium-3.5,0.0772595568945057,0.154
Phi-4-reasoning-vision-15B,Qwen-7B,0.0744061714980541,0.152
Gemma-1,Llama-4,0.09116585275312872,0.152
Gemma-1,Qwen3.5,0.08136761962334339,0.15
Gemma-3n,Llama-3.3,0.07516435369428064,0.15
Ministral-3,Phi-4-reasoning-vision-15B,0.08458907439699173,0.148
DeepSeek-V3.1,Mistral-Small-3.1,0.08263746057149873,0.144
DeepSeek-V4,Gemma-4,0.07536411892663486,0.144
Gemma-3,Phi-4-reasoning-plus,0.07423813743151414,0.144
Gemma-1,Phi-3,0.07128521316826122,0.142
DeepSeek-V3.2,Qwen3.6,0.06992285805788782,0.142
Mistral-Large-2,Mixtral-8x7B,0.08028038967980035,0.142
DeepSeek-V4,Phi-3.5,0.07365106954746782,0.142
Mixtral-8x22B,Phi-4,0.07583000611375684,0.142
Llama-3.1,Mistral-Small-4,0.06986604310292005,0.14
Mistral-Large-2,Phi-1.5,0.08055965947862469,0.14
DeepSeek-V3.2,Llama-3,0.08120181572251521,0.14
Gemma-2,Qwen2,0.07822653769701178,0.138
Ministral-3,Mistral-Large-3,0.06934391378733878,0.138
Llama-3.2,Qwen3,0.07602162922808486,0.136
Gemma-4-12B,Qwen2,0.07109347177540742,0.136
Mistral-Medium-3.5,Phi-3.5,0.07701056346014815,0.136
Llama-3.2,Mistral-Large-2,0.08335945336728634,0.136
DeepSeek-V3.2,Gemma-4-12B,0.07395703737981221,0.136
DeepSeek-R1,Phi-3,0.06522035471563511,0.134
DeepSeek-R1,Mistral-Small-3.1,0.07413198427503012,0.134
Phi-1,Phi-4,0.07069763147798447,0.132
Devstral-2,Llama-3,0.08043920699095028,0.132
Mistral-Medium-3.5,Mixtral-8x7B,0.07699819249556787,0.132
Phi-1,Phi-3,0.06523724537401554,0.132
DeepSeek-V3.1,Mistral-Small-3.2,0.07306127175873918,0.132
Gemma-2,Ministral-3,0.08116049902032335,0.13
Llama-3.3,Phi-4,0.07954268578125955,0.13
Mistral-Large-2,Qwen1.5,0.07793026305843156,0.128
Devstral-2,Mistral-7B,0.08223748043827918,0.128
DeepSeek-V3,Phi-1,0.06545930374510465,0.128
DeepSeek-R1,Phi-4-reasoning-plus,0.07046619375851934,0.128
DeepSeek-V3,Qwen2.5,0.06527061303543763,0.126
Mistral-Small-3,Qwen1.5,0.0758081843494748,0.126
DeepSeek-V3,Gemma-1,0.07031193269681867,0.126
Llama-3.3,Qwen3.6,0.07125874569881038,0.126
Mistral-Small-3.1,Phi-4-reasoning-vision-15B,0.08302196898676326,0.126
