rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,llf
71,A,0.5683460608895301,2.061153622438558e-09,0.2689360200399567,0.678798785302424,2.461719490134603e-09,0.32120121223585646,1.786116896116166e-14,0.8644884100164875,4.846470037001625e-14,0.9999999999999578,1.7210289549992872e-14,0.6087994375199194,1,0,-1.7284858741313123
72,A,0.13233042825580066,0.13313312696631138,0.28861940621630927,0.2388278244692196,0.24027652216681147,0.5208956533639689,0.04966303217560588,0.6216342025113737,0.05462231017583292,0.579361743118796,0.20492090938591617,0.7687171120179588,1,0,-5.473032236847189
73,A,0.15993010046075226,0.6030403690730813,0.18022454579685143,0.16956207132273765,0.6393591561355473,0.19107877254171507,0.03312990945265706,0.529997935103636,0.29319123624783616,0.8482042679381423,0.07740590575104196,0.35809218434369183,1,0,-5.368990649699498
74,A,1.4020214792470616,0.14224087372665062,0.25069727388698215,0.7810880302077521,0.07924460895837733,0.1396673608338705,0.462408009521148,0.9294274952288976,0.016111475681065673,0.3031972640861195,0.04106695555048867,0.3506801456967108,1,0,-8.559038533980925
75,A,0.40187591804718287,0.21179039935987837,0.22217952012473408,0.4808014827637347,0.2533845236165598,0.26581399361970554,0.15931692752114363,0.8030153265816222,0.06493259655148303,0.5678372592310187,0.08822577780246402,0.5140769019845375,1,0,-5.257914217162117
76,A,0.8211401560734704,0.07110508958095547,0.4548318890007307,0.6095717423662433,0.05278472015573031,0.3376435374780264,0.2174542714863132,0.8499821418401202,0.0020363198138901124,0.5256507285150464,0.09904160265226027,0.6517426625964436,1,0,-15.887431745801706
77,A,0.7550618043909506,2.061153622438558e-09,0.2696344542323924,0.7368640185010236,2.011477646128725e-09,0.2631359794874988,2.4931668152702365e-14,0.8965197487086005,3.828562404241604e-14,0.999999999999949,1.8065855522881965e-14,0.5400880980926529,1,0,-2.453173933210369
78,A,2.091733629203432,0.203428142764001,0.279263897847815,0.8125049612924128,0.0790188449210887,0.10847619378649848,0.49689409224286846,0.9451161794687981,0.015454583619598464,0.2833934280648874,0.030594006229024705,0.2880271054215763,1,0,-12.742390832077998
79,A,0.3753951272264394,0.25307708947584406,0.21640888026760796,0.4443171099137719,0.29954166377196484,0.2561412263142632,0.13658776238889578,0.778936938496542,0.07565147815391572,0.6280503759759439,0.0900489459769481,0.4797725647325519,1,0,-5.501361086185664
80,A,0.7123618499969523,0.06513122563061269,0.3199181253852711,0.6491293777022602,0.059349882314396814,0.29152073998334294,0.27319443822627165,0.8728670866657366,0.0047844768903961025,0.4589344157461413,0.08410339733297384,0.5998304540784377,1,0,-8.846295578515607
