rep,scenario,path,occ,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,bias_pp_family,bias_pp_era,era_boundary,ranking_ok,converged
20,B,lpm,d2,0.005337667295155043,0.0186701832414353,0.016729273982086956,0.1310271001751194,0.45830881442982874,0.41066408539505195,-6.897289982488061,-4.169118557017127,0,1,1
20,B,glmm,d2,0.10615920874689658,0.36078720617354265,0.21857264547061478,0.15485960184146905,0.5262978478931452,0.318842550265386,-4.5140398158530965,2.6297847893145154,0,1,1
21,B,lpm,d2,0.026074386967441254,0.01905850712758135,0.013305242407187534,0.4461878582739392,0.3261313290998003,0.22768081262626036,24.618785827393918,-17.38686709001997,0,0,1
21,B,glmm,d2,0.595485538661863,0.4629794770586488,0.22304527429403342,0.46467480074241485,0.36127644129443076,0.17404875796315444,26.467480074241482,-13.872355870556923,0,0,1
22,B,lpm,d2,0.007877749678198957,0.03948595348938031,0.008134942134476412,0.14194490037231888,0.7114759878277198,0.1465791117999612,-5.805509962768113,21.147598782771983,0,1,1
22,B,glmm,d2,0.20077832916100938,0.9533485789673704,0.06579608691030367,0.16458278922321876,0.781482587708038,0.0539346230687432,-3.5417210776781256,28.148258770803803,0,1,1
23,B,lpm,d2,0.02475370788977084,0.06039144285349927,0.007737175431603035,0.2665061148787992,0.6501930489961886,0.08330083612501216,6.650611487879921,15.019304899618858,0,1,1
23,B,glmm,d2,0.5627973257334561,1.418939973901613,0.07731726273630986,0.2733280292899532,0.6891220853649664,0.037549885345080344,7.332802928995319,18.912208536496642,0,1,1
24,B,lpm,d2,2.061153622438558e-09,0.04040374564882982,0.015110866379109009,3.712812664302632e-08,0.7278037740474607,0.27219618882441265,-19.999996287187336,22.780377404746066,0,1,1
24,B,glmm,d2,6.152108057325344e-06,0.7105018091712653,0.3048520471778914,6.059041134260497e-06,0.6997535881394772,0.3002403528193887,-19.999394095886576,19.975358813947718,0,1,0
25,B,lpm,d2,0.009480088638915774,0.0358922898885039,0.019290650126478102,0.1466075566867889,0.5550666375466837,0.29832580576652734,-5.339244331321111,5.506663754668373,0,1,1
25,B,glmm,d2,0.21800904671795115,0.6923330784157995,0.32268107908583277,0.17680855151135252,0.5614923352995594,0.261699113189088,-2.319144848864749,6.149233529955945,0,1,1
26,B,lpm,d2,0.005391596207982952,0.03893403539850046,0.015622197215596783,0.08993813977791805,0.6494653128148011,0.26059654740728094,-11.006186022208196,14.946531281480112,0,1,1
26,B,glmm,d2,0.11619484939685396,0.7308589497629745,0.304564921530022,0.1008969785826772,0.6346362182486669,0.2644668031686559,-9.91030214173228,13.463621824866689,0,1,1
27,B,lpm,d2,0.002775526260349162,0.020611742350821933,0.02434912752239402,0.05814276914795403,0.4317825395354699,0.510074691316576,-14.185723085204598,-6.821746046453009,0,1,1
27,B,glmm,d2,6.147002753172745e-06,6.914400128515369e-13,1.0139314150091203,6.062506197099116e-06,6.819354946068842e-13,0.9999939374931209,-19.999393749380292,-49.9999999999318,1,0,0
