rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
29,B,0.9852210733900768,0.2459193547680417,0.39609960277688494,0.6054552829701307,0.1511266623810488,0.24341805464882044,8.756510762695874e-27,0.9999999999999816,8.756510762695883e-27,0.9999999999999799,1.67087600301063e-14,8.207376894531748e-14,1,0,1,1,1,0,1,0
30,B,0.5951197597479947,0.33656601663967656,0.3102080117731444,0.47920342739562144,0.2710103068782673,0.24978626572611123,8.756510762696024e-27,0.9999999999999852,8.75651076269603e-27,0.9999999999999841,1.3243362486335086e-14,4.813054803891995e-07,1,0,1,1,1,0,1,0
31,B,0.12371116221805135,0.20138123577988298,0.2315374579480566,0.22225031750732194,0.36178662288539326,0.41596305960728486,8.756510762696148e-27,0.9999999999999892,8.75651076269615e-27,0.9999999999999881,9.856640066986178e-15,9.121858970434687e-09,1,0,1,1,1,0,1,0
32,B,0.7038773342965599,0.6095337362199953,0.20106053411399222,0.4647676008876175,0.40247287196163045,0.1327595271507521,8.756510762696199e-27,0.9999999999999903,8.756510762696203e-27,0.9999999999999898,8.590091140083478e-15,5.2171616521777465e-06,1,0,1,1,1,0,1,0
33,B,0.8629079946837757,0.41048258132222426,0.2068613922589134,0.5829466963622678,0.2773058844862568,0.13974741915147548,8.756510762696189e-27,0.9999999999999899,8.756510762696191e-27,0.9999999999999896,8.843160091025777e-15,7.188706225587414e-07,1,0,1,1,1,0,1,0
34,B,0.5920442199053685,0.9087436563362347,0.2082717765156954,0.346415187410339,0.5317214380844577,0.1218633745052033,8.756510762696184e-27,0.9999999999999901,8.756510762696186e-27,0.9999999999999896,8.823095711607151e-15,4.558722595139122e-14,1,0,1,1,1,0,1,0
35,B,0.07544075294040987,0.7856121380434931,0.4350714418586677,0.0582048735825817,0.6061240562628298,0.33567107015458847,8.756510762695833e-27,0.9999999999999799,8.756510762695828e-27,0.9999999999999777,1.8405637979338326e-14,6.432671190544776e-08,1,0,1,1,1,0,1,0
36,B,0.009247838737592582,0.04711559156633197,0.5579743218507794,0.015053345989493691,0.07669330331903029,0.9082533506914761,8.756510762695632e-27,0.9999999999999745,8.756510762695646e-27,0.9999999999999717,2.326626973051959e-14,4.944535976568237e-07,1,0,1,1,1,0,1,0
37,B,0.5588702396802661,0.00011054266802227683,0.2859753151264429,0.6614192634984557,0.0001308265226473292,0.338449909978897,1.1879699887445357e-14,0.9178597576931975,3.49994125732094e-14,0.9999999999999629,1.4497067076205162e-14,0.6446997763585615,1,0,1,1,1,0,1,1
38,B,0.002187780521509345,0.44176305529635496,0.24161445724569325,0.0031912066489435302,0.6443777999937342,0.3524309933573221,2.2426545089524297e-20,0.9999999999999878,1.7402587000570856e-21,0.9999999474545128,1.1277430415170458e-14,0.2952238375284542,1,0,1,1,1,0,1,0
39,B,2.0102179811344008,0.559556366222271,0.30805481809154733,0.6985188715402123,0.19443696413269226,0.10704416432709553,8.756510762696025e-27,0.9999999999999852,8.756510762696031e-27,0.9999999999999845,1.3140500971664548e-14,2.170831431037162e-09,1,0,1,1,1,0,1,0
40,B,0.06021480254812976,0.054203514270717144,0.681993653259643,0.07560760612650677,0.06805964288228258,0.8563327509912106,8.756510762695421e-27,0.9999999999999687,8.756510762695438e-27,0.9999999999999661,2.816513572214249e-14,1.4206388430648275e-13,1,0,1,1,1,0,1,0
41,B,0.12612003672959116,3.2267179371075586e-08,0.3747927758983498,0.2517804005525109,6.441675373254123e-08,0.7482195350307353,1.4957360126938216e-15,0.7663917556078974,6.87838387352071e-14,0.9999999999999717,1.7362026097141628e-14,0.972958892988122,1,0,1,1,1,0,1,1
42,B,0.030731556282240627,0.32873813177667627,0.21622239961756584,0.053381932703425665,0.571031179364436,0.3755868879321383,8.75651076269618e-27,0.9999999999999899,8.756510762696189e-27,0.9999999999999889,9.316900953711743e-15,0.0005682667076778187,1,0,1,1,1,0,1,0
43,B,0.35811851865325794,0.0004745191684064371,0.12097986586338974,0.7467446886624814,0.0009894620082999187,0.25226584932921864,5.001334810861663e-16,0.9960485352999503,3.0718541079959052e-15,0.9999999999999905,6.129900874062902e-15,0.3657938193375447,1,0,1,1,1,0,1,1
